quarter,shares,revenue,assets,liabilities,price
Q3-2021,138921750,443500000,2414700000,831000000,31.01
Q4-2021,138921750,512600000,2383500000,756000000,33.30
Q1-2022,138921750,416500000,2404600000,724200000,14.77
Q2-2022,138921750,482100000,2583400000,938700000,10.43
Q3-2022,138921750,466200000,2629400000,948900000,9.90
Q4-2022,138.92M,411.3M,2209.7M,776.6M,9.59
Q1-2023,138.37M,236.4M,2075.8M,667.7M,8.85
Q2-2023,137.87M,293.1M,2260.1M,903.9M,7.98
Q3-2023,137.87M,276.1M,2281.2M,909.6M,7.45
