quarter,shares,revenue,assets,liabilities,price
Q4-2022,209511000,780000k,2845m,1962m,2.46
Q1-2023,209511000,455000k,2830m,1999m,2.4560
Q2-2023,209548000,558000k,2900m,2072m,2.1360
Q3-2023,209548000,553000k,2802m,1978m,2.1740
