quarter,shares,revenue,assets,liabilities,price
Q4-2022,117273760,90890k,1530939k,173619k,22.33
Q1-2022,127033283,79787k,1549755k,162071k,21.17
Q2-2022,154536152,72947k,1436225k,147660k,4.19
Q3-2022,167296911,46290k,1453622k,154251k,7.01
Q4-2022,166979322,60147k,1319964k,168522k,3.39
Q1-2023,175078000,73236k,1250315k,158170k,9.99
Q2-2023,185305831,76739k,1358930k,118020k,11.82
Q3-2023,206515415,51891k,1455384k,114683k,9.33
