quarter,shares,revenue,assets,liabilities,price
Q4-2022,167247030,28423k,1195244k,809301k,3.42
Q1-2023,167399935,51132k,1303932k,734244k,8.72
Q2-2023,174266313,81759k,1373237k,734654k,13.86
Q3-2023,222625063,97849k,1383780k,325654k,8.50
